Qid,Question,dependant,PLR0,PLR1,NLR0,NLR1
1000,Headache,,1.2,1.2,0.7,0.7
1001,One sided,1000,1,1,1,1
1002,Diffuse,1000,1,1,1,1
1003,Abrupt-onset,1000,1,1,1,1
1004,Worst in am,1000,1,1,1,1
1005,Worst in cold,1000,1,1,1,1
2000,Temporal Artery,,1,1,1,1
3000,Beaded,,4.6,4.6,0.93,0.93
4000,Prominent,,4.3,4.3,0.67,0.67
5000,Tender,,2.6,2.6,0.82,0.82
6000,Abnormal,,2,2,0.53,0.53
7000,Any scalp?,,1,1,1,1
8000,Is it temporal headache ?,,1.5,1.5,0.82,0.82
9000,Any headache?,,1.2,1.2,0.7,0.7
10000,Scalp tenderness?,,1.6,1.6,0.93,0.93
2000,Does patient feel discomfort?,,1,1,1,1
2001,Systemic?,,1,1,1,1
2002,Weight loss?,,1.3,1.3,0.89,0.89
2003,Fatigue?,,1.2,1,0.94,0.94
2004,Fever,,1.2,1.2,0.92,0.92
2005,Anorexia?,,1.2,1.2,0.87,0.87
2006,Night sweats?,,1,1,1,1
2007,ORO-Facial,,1,1,1,1
2008,Jaw claudification,,4.2,4.2,0.72,0.72
2009,Jaw pain during chewing,,1,1,1,1
3000,Jaw pain after chewing?,,1,1,1,1
3001,Tounge pain during talking or swallowing?,,1,1,1,1
3002,Black tongue,,1,1,1,1
3003,Visual,,1,1,1,1
3004,New double vision?,,1,1,1,1
3005,Any visual symptoms?,,1.1,1.1,0.97,0.97
3006,Transient visual loss?,,1,1,1,1
3007,Iscaemic optic neuropathy or central artery occlusion,,1.6,1.6,0.8,0.8
3008,Unilateral visual loss?,,0.85,0.85,1.2,1.2
3009,Limb,,1,1,1,1
4000,Athralgia,,1.1,1.1,1,1
4001,PMR,,0.97,0.97,0.99,0.99
4002,Claudication,,1,1,1,1
4003,Myalgia,,0.93,0.93,1.1,1.1
4004,Synovitis,,0.41,0.41,1.1,1.1
4005,CNS,,1,1,1,1
4006,TIA,,1,1,1,1
4007,CVA-typical,,1,1,1,1
4008,CVA atypical,,1,1,1,1
4009,Dementia,,1,1,1,1
5000,Spinal cord infract,,1,1,1,1
5001,Mono-neuropathy,,1,1,1,1
5002,Poly-neuropathy,,1,1,1,1
5003,Vertebral artery occlusion,,1,1,1,1
5004,ESR,,1,1,1,1
5005,Greater than 100mm/h,,1.9,1.9,0.8,0.8
5006,Greater than 50mm/h,,1.2,1.2,0.35,0.35
5007,Less than 30mm/h,,1,1,1,1
5008,Abnormal,,1.1,1.1,0.2,0.2
5009,C-reactive protein?,,1,1,1,1
6000,Anaemia,,1.5,1.5,0.79,0.79
6001,Haemaglobin,,1,1,1,1
6002,Platelet count,,1,1,1,1
6003,Fibrinogen,,1,1,1,1
6004,Liver function tests?,,1,1,1,1
6005,CD8-T cells,,1,1,1,1
6006,Inter-leukin 6,,1,1,1,1
6007,IGA anticardiolipin antibody,,1,1,1,1
6008,IGG anticardiolipin antibody,,1,1,1,1
6009,Temporal artery biopsy histology,,3.4,3.4,0.95,0.95
