,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Qid,Question,Time,Qtype,Dependant,Description,PLR0,PLR1,NLR0,NLR1,PLR,NLR,options,Unnamed: 14,GCAPS,Shmirling,Unnamed: 17
0,0,0,0.0,1000.0,Age,,S,,GCA is an illness more common in the late-middle to elderly. ,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,
1,1,1,1.0,1002.0,>60,,SA,1000.0,,1.2365,1.2635,0.0945,0.2055,1.25,0.15,,,,,
2,2,2,2.0,1003.0,>70,,SA,1000.0,,1.5999999999999999,1.68,0.4505,0.5095,1.64,0.48,,,,,
3,3,3,3.0,1004.0,>80,,SA,1000.0,,1.1835,1.3565,0.9375,0.9624999999999999,1.27,0.95,are these cumulative? If im over 80 is it yes to all,,,,
4,4,4,4.0,2000.0,Male,,B,,GCA is more common in women. ,0.8935000000000001,0.9065,1.046,1.054,0.9,1.05,"Male, Female",,1.0,1.0,
5,5,5,5.0,2002.0,White,,B,,GCA is much more common in the white population than any other ethnic groups.,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,
6,6,6,6.0,,Cranial symptoms,,H,,,,,,,,,,,,,
7,7,7,7.0,3000.0,New headache,1.0,B,3000.0,A new headache or head pain that is either recent in onset or different from previous headaches among patients with a history of chronic headache. Do not mark as present if these criteria are not fulfilled. ,1.3155000000000001,1.3445,0.6015,0.6184999999999999,1.33,0.61,,,1.0,1.0,
8,8,8,8.0,3001.0,Headache in the temporal region,1.0,B,3000.0,A new headache including the temporal region. See scalp anatomy image. A new headache or head pain that is either recent in onset or different from previous headaches among patients with a history of chronic headache. ,0.954,0.986,1.0355,1.1045,0.97,1.07,,,,1.0,
9,9,9,,3002.0,Continuous headache,,,,Headache that is present throughout the waking hours and may or may not disturb sleep,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
10,10,10,9.0,3003.0,Scalp tenderness,1.0,B,3000.0,"Pain when touching the scalp, or with activites such as combing hair, putting on a hat or wearing glasses",1.798,1.9020000000000001,0.7635000000000001,0.7765,1.85,0.77,,,,,
11,11,11,10.0,3004.0,Jaw pain,1.0,B,,Any pain in the Jaw.,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
12,12,12,,3005.0,Continuous jaw pain,1.0,B,3004.0,Jaw pain that is present throughout the waking hours and may or may not disturb sleep,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
13,13,13,11.0,3006.0,Jaw claudication,1.0,B,3004.0,"Pain and tiredness of the proximal jaw near the TMJ that develops after a brief period of chewing especially food requiring vigorous mastication such as steak or crusty bread, due to angina of the masseter muscle. Do not mark as present if these criteria are not fulfilled.",4.766500000000001,5.0335,0.6765000000000001,0.6835,4.9,0.68,,,,1.0,
14,14,14,73.0,3007.0,Jaw pain which persists after chewing has ceased,1.0,B,3004.0,,1.0,1.0,1.0,1.0,1.0,1.0,not offer if 3005 is anwered YES,,,,
15,15,15,70.0,3008.0,Clicking/popping/grinding of jaw on jaw movement ,1.0,B,3004.0,,1.0,1.0,1.0,1.0,1.0,1.0,We need to check the associated likelihood ratios for their numerical effect. ,,,,
16,16,16,71.0,3009.0,Pain on jaw opening,1.0,B,3004.0,Pain which is felt immediately on jaw opening or with lateral movement ,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
17,17,17,72.0,3010.0,Trismus,1.0,B,3004.0,Limitation in the ability to open the mouth,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
